episode,step_no,sku_id,action_id,action_name,epsilon,total_cost,raw_reward,reward,simulation_status,terminated,episode_total_reward,episode_total_cost
1,1,SKU_A,3,order_2w_cover,1.0,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1000.8235186331807,1000823.5186331805
1,2,SKU_B,2,order_1w_cover,1.0,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1000.8235186331807,1000823.5186331805
1,3,SKU_C,1,order_moq,1.0,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-1000.8235186331807,1000823.5186331805
2,1,SKU_A,0,hold,0.9952261306532664,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
2,2,SKU_B,4,expedite,0.9952261306532664,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
2,3,SKU_C,4,expedite,0.9952261306532664,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
3,1,SKU_A,3,order_2w_cover,0.9904522613065326,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1000.8602471258902,1000860.24712589
3,2,SKU_B,2,order_1w_cover,0.9904522613065326,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1000.8602471258902,1000860.24712589
3,3,SKU_C,2,order_1w_cover,0.9904522613065326,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1000.8602471258902,1000860.24712589
4,1,SKU_A,4,expedite,0.985678391959799,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
4,2,SKU_B,0,hold,0.985678391959799,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
4,3,SKU_C,3,order_2w_cover,0.985678391959799,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
5,1,SKU_A,1,order_moq,0.9809045226130654,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1001.3013361218129,1001301.3361218128
5,2,SKU_B,3,order_2w_cover,0.9809045226130654,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.3013361218129,1001301.3361218128
5,3,SKU_C,0,hold,0.9809045226130654,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.3013361218129,1001301.3361218128
6,1,SKU_A,5,reduce_review,0.9761306532663316,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
6,2,SKU_B,4,expedite,0.9761306532663316,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
6,3,SKU_C,1,order_moq,0.9761306532663316,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
7,1,SKU_A,3,order_2w_cover,0.971356783919598,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1000.8602471258902,1000860.24712589
7,2,SKU_B,0,hold,0.971356783919598,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1000.8602471258902,1000860.24712589
7,3,SKU_C,2,order_1w_cover,0.971356783919598,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1000.8602471258902,1000860.24712589
8,1,SKU_A,5,reduce_review,0.9665829145728644,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
8,2,SKU_B,0,hold,0.9665829145728644,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
8,3,SKU_C,2,order_1w_cover,0.9665829145728644,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
9,1,SKU_A,4,expedite,0.9618090452261306,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
9,2,SKU_B,2,order_1w_cover,0.9618090452261306,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
9,3,SKU_C,5,reduce_review,0.9618090452261306,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
10,1,SKU_A,2,order_1w_cover,0.957035175879397,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
10,2,SKU_B,0,hold,0.957035175879397,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
10,3,SKU_C,1,order_moq,0.957035175879397,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
11,1,SKU_A,5,reduce_review,0.9522613065326633,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
11,2,SKU_B,2,order_1w_cover,0.9522613065326633,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
11,3,SKU_C,3,order_2w_cover,0.9522613065326633,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
12,1,SKU_A,0,hold,0.9474874371859296,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
12,2,SKU_B,4,expedite,0.9474874371859296,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
12,3,SKU_C,4,expedite,0.9474874371859296,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
13,1,SKU_A,1,order_moq,0.942713567839196,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.9679650911576003,1967.9650911576005
13,2,SKU_B,4,expedite,0.942713567839196,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1.9679650911576003,1967.9650911576005
13,3,SKU_C,0,hold,0.942713567839196,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9679650911576003,1967.9650911576005
14,1,SKU_A,0,hold,0.9379396984924623,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
14,2,SKU_B,3,order_2w_cover,0.9379396984924623,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
14,3,SKU_C,2,order_1w_cover,0.9379396984924623,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
15,1,SKU_A,3,order_2w_cover,0.9331658291457287,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-2000.1936181565454,2000193.6181565453
15,2,SKU_B,3,order_2w_cover,0.9331658291457287,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-2000.1936181565454,2000193.6181565453
15,3,SKU_C,4,expedite,0.9331658291457287,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2000.1936181565454,2000193.6181565453
16,1,SKU_A,1,order_moq,0.928391959798995,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.931236598448162,1931.236598448162
16,2,SKU_B,5,reduce_review,0.928391959798995,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1.931236598448162,1931.236598448162
16,3,SKU_C,1,order_moq,0.928391959798995,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-1.931236598448162,1931.236598448162
17,1,SKU_A,0,hold,0.9236180904522613,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
17,2,SKU_B,1,order_moq,0.9236180904522613,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
17,3,SKU_C,5,reduce_review,0.9236180904522613,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
18,1,SKU_A,1,order_moq,0.9188442211055277,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1001.3013361218129,1001301.3361218128
18,2,SKU_B,3,order_2w_cover,0.9188442211055277,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.3013361218129,1001301.3361218128
18,3,SKU_C,4,expedite,0.9188442211055277,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.3013361218129,1001301.3361218128
19,1,SKU_A,2,order_1w_cover,0.914070351758794,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
19,2,SKU_B,4,expedite,0.914070351758794,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
19,3,SKU_C,0,hold,0.914070351758794,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
20,1,SKU_A,0,hold,0.9092964824120603,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
20,2,SKU_B,4,expedite,0.9092964824120603,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
20,3,SKU_C,0,hold,0.9092964824120603,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
21,1,SKU_A,2,order_1w_cover,0.9045226130653267,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
21,2,SKU_B,4,expedite,0.9045226130653267,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
21,3,SKU_C,1,order_moq,0.9045226130653267,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
22,1,SKU_A,1,order_moq,0.8997487437185929,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.9679650911576003,1967.9650911576005
22,2,SKU_B,5,reduce_review,0.8997487437185929,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1.9679650911576003,1967.9650911576005
22,3,SKU_C,0,hold,0.8997487437185929,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9679650911576003,1967.9650911576005
23,1,SKU_A,4,expedite,0.8949748743718593,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
23,2,SKU_B,1,order_moq,0.8949748743718593,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
23,3,SKU_C,2,order_1w_cover,0.8949748743718593,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
24,1,SKU_A,2,order_1w_cover,0.8902010050251257,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
24,2,SKU_B,1,order_moq,0.8902010050251257,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
24,3,SKU_C,4,expedite,0.8902010050251257,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
25,1,SKU_A,2,order_1w_cover,0.8854271356783919,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
25,2,SKU_B,2,order_1w_cover,0.8854271356783919,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
25,3,SKU_C,5,reduce_review,0.8854271356783919,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
26,1,SKU_A,4,expedite,0.8806532663316583,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
26,2,SKU_B,1,order_moq,0.8806532663316583,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
26,3,SKU_C,2,order_1w_cover,0.8806532663316583,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
27,1,SKU_A,5,reduce_review,0.8758793969849246,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
27,2,SKU_B,3,order_2w_cover,0.8758793969849246,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
27,3,SKU_C,2,order_1w_cover,0.8758793969849246,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
28,1,SKU_A,0,hold,0.8711055276381909,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
28,2,SKU_B,3,order_2w_cover,0.8711055276381909,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
28,3,SKU_C,4,expedite,0.8711055276381909,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
29,1,SKU_A,0,hold,0.8663316582914573,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
29,2,SKU_B,3,order_2w_cover,0.8663316582914573,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
29,3,SKU_C,0,hold,0.8663316582914573,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
30,1,SKU_A,4,expedite,0.8615577889447237,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
30,2,SKU_B,5,reduce_review,0.8615577889447237,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
30,3,SKU_C,1,order_moq,0.8615577889447237,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
31,1,SKU_A,3,order_2w_cover,0.8567839195979899,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-2000.1936181565454,2000193.6181565453
31,2,SKU_B,3,order_2w_cover,0.8567839195979899,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-2000.1936181565454,2000193.6181565453
31,3,SKU_C,3,order_2w_cover,0.8567839195979899,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2000.1936181565454,2000193.6181565453
32,1,SKU_A,2,order_1w_cover,0.8520100502512563,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
32,2,SKU_B,4,expedite,0.8520100502512563,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
32,3,SKU_C,4,expedite,0.8520100502512563,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
33,1,SKU_A,5,reduce_review,0.8472361809045226,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
33,2,SKU_B,2,order_1w_cover,0.8472361809045226,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
33,3,SKU_C,4,expedite,0.8472361809045226,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
34,1,SKU_A,1,order_moq,0.842462311557789,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.9679650911576003,1967.9650911576005
34,2,SKU_B,5,reduce_review,0.842462311557789,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1.9679650911576003,1967.9650911576005
34,3,SKU_C,2,order_1w_cover,0.842462311557789,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9679650911576003,1967.9650911576005
35,1,SKU_A,0,hold,0.8376884422110553,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
35,2,SKU_B,5,reduce_review,0.8376884422110553,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
35,3,SKU_C,1,order_moq,0.8376884422110553,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
36,1,SKU_A,0,hold,0.8329145728643216,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
36,2,SKU_B,1,order_moq,0.8329145728643216,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
36,3,SKU_C,3,order_2w_cover,0.8329145728643216,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
37,1,SKU_A,1,order_moq,0.828140703517588,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.7598217839667543,1759.821783966754
37,2,SKU_B,1,order_moq,0.828140703517588,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.7598217839667543,1759.821783966754
37,3,SKU_C,0,hold,0.828140703517588,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.7598217839667543,1759.821783966754
38,1,SKU_A,0,hold,0.8233668341708542,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1001.4498001218129,1001449.8001218128
38,2,SKU_B,3,order_2w_cover,0.8233668341708542,999999.0,-999999.0,-999.999,SKIPPED_GATE_FAIL,False,-1001.4498001218129,1001449.8001218128
38,3,SKU_C,5,reduce_review,0.8233668341708542,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1001.4498001218129,1001449.8001218128
39,1,SKU_A,5,reduce_review,0.8185929648241206,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.871557291257316,1871.557291257316
39,2,SKU_B,1,order_moq,0.8185929648241206,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.871557291257316,1871.557291257316
39,3,SKU_C,1,order_moq,0.8185929648241206,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-1.871557291257316,1871.557291257316
40,1,SKU_A,5,reduce_review,0.813819095477387,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.0797005984481616,2079.700598448162
40,2,SKU_B,0,hold,0.813819095477387,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.0797005984481616,2079.700598448162
40,3,SKU_C,1,order_moq,0.813819095477387,158.88966383592893,-158.88966383592893,-0.15888966383592892,SIMULATED,True,-2.0797005984481616,2079.700598448162
41,1,SKU_A,1,order_moq,0.8090452261306533,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.7598217839667543,1759.821783966754
41,2,SKU_B,1,order_moq,0.8090452261306533,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.7598217839667543,1759.821783966754
41,3,SKU_C,3,order_2w_cover,0.8090452261306533,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.7598217839667543,1759.821783966754
42,1,SKU_A,2,order_1w_cover,0.8042713567839196,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
42,2,SKU_B,1,order_moq,0.8042713567839196,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
42,3,SKU_C,5,reduce_review,0.8042713567839196,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
43,1,SKU_A,2,order_1w_cover,0.799497487437186,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
43,2,SKU_B,1,order_moq,0.799497487437186,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
43,3,SKU_C,2,order_1w_cover,0.799497487437186,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
44,1,SKU_A,2,order_1w_cover,0.7947236180904522,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
44,2,SKU_B,2,order_1w_cover,0.7947236180904522,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
44,3,SKU_C,3,order_2w_cover,0.7947236180904522,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
45,1,SKU_A,1,order_moq,0.7899497487437186,1106.7179652675184,-1106.7179652675184,-1.1067179652675183,SIMULATED,False,-1.9679650911576003,1967.9650911576005
45,2,SKU_B,0,hold,0.7899497487437186,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-1.9679650911576003,1967.9650911576005
45,3,SKU_C,4,expedite,0.7899497487437186,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9679650911576003,1967.9650911576005
46,1,SKU_A,2,order_1w_cover,0.785175879396985,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
46,2,SKU_B,5,reduce_review,0.785175879396985,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
46,3,SKU_C,3,order_2w_cover,0.785175879396985,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
47,1,SKU_A,5,reduce_review,0.7804020100502512,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-1.9082857839667542,1908.285783966754
47,2,SKU_B,1,order_moq,0.7804020100502512,457.4856621538687,-457.4856621538687,-0.4574856621538687,SIMULATED,False,-1.9082857839667542,1908.285783966754
47,3,SKU_C,4,expedite,0.7804020100502512,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-1.9082857839667542,1908.285783966754
48,1,SKU_A,5,reduce_review,0.7756281407035176,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
48,2,SKU_B,0,hold,0.7756281407035176,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
48,3,SKU_C,0,hold,0.7756281407035176,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
49,1,SKU_A,4,expedite,0.770854271356784,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
49,2,SKU_B,5,reduce_review,0.770854271356784,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
49,3,SKU_C,4,expedite,0.770854271356784,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
50,1,SKU_A,5,reduce_review,0.7660804020100502,1255.1819652675183,-1255.1819652675183,-1.2551819652675182,SIMULATED,False,-2.1164290911576003,2116.4290911576004
50,2,SKU_B,4,expedite,0.7660804020100502,665.6289693447147,-665.6289693447147,-0.6656289693447147,SIMULATED,False,-2.1164290911576003,2116.4290911576004
50,3,SKU_C,4,expedite,0.7660804020100502,195.61815654536724,-195.61815654536724,-0.19561815654536724,SIMULATED,True,-2.1164290911576003,2116.4290911576004
